Date,Open,High,Low,Close,Adj Close,Volume
2020-01-13,32.900002,35.042000,32.799999,34.990665,34.990665,397764000
2020-01-14,36.284000,36.493999,34.993332,35.861332,35.861332,434943000
2020-01-15,35.317333,35.855999,34.452667,34.566666,34.566666,260532000
2020-01-16,32.916668,34.297333,32.811333,34.232666,34.232666,326050500
2020-01-17,33.840668,34.377998,33.543999,34.033333,34.033333,204436500
2020-01-21,35.349998,36.571999,35.227333,36.480000,36.480000,267052500
2020-01-22,38.125999,39.633331,37.273335,37.970669,37.970669,470535000
2020-01-23,37.616669,38.799999,37.040001,38.146667,38.146667,294765000
2020-01-24,38.042000,38.257332,36.950668,37.654667,37.654667,215304000
2020-01-27,36.132668,37.629333,35.952000,37.201332,37.201332,204121500
2020-01-28,37.899334,38.453999,37.205334,37.793331,37.793331,176827500
2020-01-29,38.379333,39.320000,37.828667,38.732666,38.732666,267022500
2020-01-30,42.161331,43.391998,41.200001,42.720669,42.720669,435085500
2020-01-31,42.666668,43.533333,42.167999,43.371334,43.371334,235789500
2020-02-03,44.912666,52.409332,44.901333,52.000000,52.000000,705975000
2020-02-04,58.863998,64.599335,55.591999,59.137333,59.137333,914082000
2020-02-05,54.883999,56.398666,46.940666,48.980000,48.980000,726357000
2020-02-06,46.661331,53.055332,45.799999,49.930668,49.930668,598212000
2020-02-07,48.703335,51.316666,48.666668,49.871334,49.871334,255952500
2020-02-10,53.333332,54.666000,50.160000,51.418667,51.418667,370338000
2020-02-11,51.252666,52.234001,50.533333,51.625332,51.625332,175462500
2020-02-12,51.858002,52.650002,50.891335,51.152668,51.152668,180337500
2020-02-13,49.456001,54.533333,49.000000,53.599998,53.599998,394339500
2020-02-14,52.481335,54.198002,52.366669,53.335335,53.335335,235405500
2020-02-18,56.106667,57.333332,55.490665,57.226665,57.226665,245725500
2020-02-19,61.566666,62.985332,60.068001,61.161331,61.161331,381345000
2020-02-20,60.796665,60.799999,57.329334,59.960667,59.960667,264523500
2020-02-21,60.465332,60.870667,58.696667,60.066666,60.066666,214722000
2020-02-24,55.933334,57.566666,54.813332,55.585999,55.585999,227883000
2020-02-25,56.599998,57.106667,52.466667,53.327332,53.327332,259357500
2020-02-26,52.166668,54.220669,51.740665,51.919998,51.919998,211282500
2020-02-27,48.666668,49.318001,44.599998,45.266666,45.266666,364158000
2020-02-28,41.980000,46.034668,40.768002,44.532665,44.532665,363343500
2020-03-02,47.417332,49.579334,45.778000,49.574669,49.574669,302925000
2020-03-03,53.666668,53.798668,47.740665,49.700668,49.700668,386760000
2020-03-04,50.930668,51.101334,48.315334,49.966667,49.966667,225735000
2020-03-05,48.251331,49.716667,47.871334,48.302666,48.302666,162790500
2020-03-06,46.000000,47.133331,45.618000,46.898666,46.898666,189943500
2020-03-09,40.359333,44.200001,40.333332,40.533333,40.533333,256105500
2020-03-10,43.962002,44.533333,40.533333,43.021999,43.021999,233916000
2020-03-11,42.680000,43.571999,40.866669,42.282001,42.282001,199837500
2020-03-12,38.726002,39.633331,36.416668,37.369999,37.369999,283636500
2020-03-13,39.666668,40.504665,33.466667,36.441334,36.441334,339604500
2020-03-16,31.299999,32.991333,29.478001,29.671333,29.671333,307342500
2020-03-17,29.334000,31.456667,26.400000,28.680000,28.680000,359919000
2020-03-18,25.933332,26.990667,23.367332,24.081333,24.081333,356793000
2020-03-19,24.980000,30.133333,23.897333,28.509333,28.509333,452932500
2020-03-20,29.213333,31.799999,28.386000,28.502001,28.502001,424282500
2020-03-23,28.906668,29.466667,27.366667,28.952667,28.952667,246817500
2020-03-24,31.820000,34.245998,31.600000,33.666668,33.666668,343428000
2020-03-25,36.349998,37.133331,34.074001,35.950001,35.950001,318340500
2020-03-26,36.492668,37.333332,34.150002,35.210667,35.210667,260710500
2020-03-27,33.666668,35.053333,32.935333,34.290668,34.290668,215661000
2020-03-30,34.017334,34.443333,32.748669,33.475334,33.475334,179971500
2020-03-31,33.416668,36.197334,33.133331,34.933334,34.933334,266572500
2020-04-01,33.599998,34.263332,31.673332,32.104000,32.104000,200298000
2020-04-02,32.068668,32.950668,29.760000,30.298000,30.298000,297876000
